mIoU,minIoU,maxIoU,msp,maxlog,entropy,energy,loss,entropy_weight,gamma_focal,class_weights,backbone,dataset,head
59.51,21.71,95.52,8.2,11.08,9.81,11.56,CE,0.0,0.0,FALSE,mobilenet,cityscapes,Standard
54.94,24.3,93.67,6.95,8.81,8.42,8.91,CE,0.0,0.0,TRUE,mobilenet,cityscapes,Standard
59.66,21.58,95.64,7.97,10.91,9.71,11.14,CE+H,0.1,0.0,FALSE,mobilenet,cityscapes,Standard
55.24,23.96,93.9,7.01,9.08,8.52,9.22,CE+H,0.1,0.0,TRUE,mobilenet,cityscapes,Standard
57.73,17.58,95.35,7.27,9.92,8.84,10.12,CE,0.0,0.0,FALSE,mobilenet,voc,Standard
54.67,21.93,92.84,6.09,8.42,7.38,8.5,CE,0.0,0.0,TRUE,mobilenet,voc,Standard
58.31,17.26,95.51,7.08,9.86,8.52,10.05,CE+H,0.1,0.0,FALSE,mobilenet,voc,Standard
54.26,21.89,92.94,6.33,8.62,7.69,8.64,CE+H,0.1,0.0,TRUE,mobilenet,voc,Standard
59.3,21.36,95.56,8.64,5.2,10.57,4.11,CE,0.0,0.0,FALSE,mobilenet,cityscapes,Distance
55.84,24.23,93.52,7.54,7.56,9.2,6.53,CE,0.0,0.0,TRUE,mobilenet,cityscapes,Distance
59.19,21.24,95.62,8.32,5.34,10.2,4.4,CE+H,0.1,0.0,FALSE,mobilenet,cityscapes,Distance
56.2,24.07,93.82,7.83,7.47,9.63,6.52,CE+H,0.1,0.0,TRUE,mobilenet,cityscapes,Distance
58.14,17.68,95.33,7.47,2.65,8.86,2.06,CE,0.0,0.0,FALSE,mobilenet,voc,Distance
53.07,23.3,92.14,6.21,3.97,7.38,3.25,CE,0.0,0.0,TRUE,mobilenet,voc,Distance
58.69,20.2,95.39,8.07,2.75,9.62,2.2,CE+H,0.1,0.0,FALSE,mobilenet,voc,Distance
55.45,24.1,93.66,6.6,0.88,7.54,0.76,CE+H,0.1,0.0,TRUE,mobilenet,voc,Distance
58.96,20.58,95.42,8.7,11.25,10.97,11.42,FL,0.0,2.0,FALSE,mobilenet,cityscapes,Standard
