mIoU,minIoU,maxIoU,msp,maxlog,entropy,energy,loss,entropy_weight,gamma_focal,class_weights,backbone,dataset,head
20.91,0.0,80.94,2.69,2.26,2.62,2.2,FL+H,10.0,2.0,FALSE,mobilenet,cityscapes,Distance
55.61,17.01,95.97,9.54,2.7,11.92,2.33,FL+H,1.0,2.0,FALSE,mobilenet,cityscapes,Distance
56.02,19.2,95.82,12.14,1.05,15.34,0.79,FL+H,0.01,2.0,FALSE,mobilenet,cityscapes,Distance
57.09,19.91,95.83,12.31,2.01,14.98,1.49,FL+H,0.1,1.0,FALSE,mobilenet,cityscapes,Distance
57.05,19.79,95.86,12.36,1.97,15.07,1.47,FL+H,0.1,3.0,FALSE,mobilenet,cityscapes,Distance
56.93,19.91,95.85,12.38,1.98,15.1,1.47,FL+H,0.1,4.0,FALSE,mobilenet,cityscapes,Distance
24.16,0.0,82.74,2.3,1.62,2.07,1.53,FL+H,10.0,2.0,FALSE,resnet101,cityscapes,Distance
60.93,29.55,96.46,10.31,3.47,13.57,3.13,FL+H,1.0,2.0,FALSE,resnet101,cityscapes,Distance
62.02,32.06,96.54,11.77,2.18,16.28,1.72,FL+H,0.01,2.0,FALSE,resnet101,cityscapes,Distance
61.92,30.65,96.6,12.85,2.56,17.22,2.13,FL+H,0.1,1.0,FALSE,resnet101,cityscapes,Distance
62.08,32.84,96.62,12.86,2.62,17.31,2.18,FL+H,0.1,3.0,FALSE,resnet101,cityscapes,Distance
61.77,31.86,96.54,12.92,2.62,17.49,2.18,FL+H,0.1,4.0,FALSE,resnet101,cityscapes,Distance
61.58,32.08,96.26,12.64,2.62,17.28,2.19,FL+H,0.1,2.0,FALSE,resnet101,cityscapes,Distance
56.93,20.02,95.83,12.58,2.02,15.26,1.5,FL+H,0.1,2.0,FALSE,mobilenet,cityscapes,Distance
54.99,30.89,96.6,9.7,11.85,12.82,10.97,FL,0.0,2.0,FALSE,resnet101,cityscapes,Distance
55.75,36.01,96.61,11.75,3.04,15.14,2.58,CE+H,0.1,0.0,FALSE,resnet101,cityscapes,Distance
50.71,20.65,95.71,11.83,1.11,15.08,0.83,FL,0.0,2.0,FALSE,mobilenet,cityscapes,Distance
50.74,21.24,95.62,8.32,5.34,10.2,4.4,CE+H,0.1,0.0,FALSE,mobilenet,cityscapes,Distance
